accession,disposition,mhc_class,chain,label_status,evidence,source_version,source_url,audited_on
A0A8J6EDQ8,exclude_non_mhc,,,excluded_non_mhc,PANTHER PTHR12174:SF23; peptidase A22B minor histocompatibility antigen H13,UniProtKB entry 16; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8J6EDQ8?format=txt&versions=16,2026-09-02
A0A8J6EIP1,include,II,beta,curated,PTHR19944:SF65,UniProtKB entry 13; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A8J6EIP1?format=txt&versions=13,2026-09-02
Q5XG56,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 113; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q5XG56?format=txt&versions=113,2026-09-02
Q7SYW8,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 86; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q7SYW8?format=txt&versions=86,2026-09-02
A2BD50,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 84; annotation 2026-09-02,https://rest.uniprot.org/unisave/A2BD50?format=txt&versions=84,2026-09-02
A9UM01,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 77; annotation 2026-09-02,https://rest.uniprot.org/unisave/A9UM01?format=txt&versions=77,2026-09-02
Q7SZ32,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 85; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q7SZ32?format=txt&versions=85,2026-09-02
B0BMQ1,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 79; annotation 2026-09-02,https://rest.uniprot.org/unisave/B0BMQ1?format=txt&versions=79,2026-09-02
Q0P3R9,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 74; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q0P3R9?format=txt&versions=74,2026-09-02
Q4KLE7,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 113; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q4KLE7?format=txt&versions=113,2026-09-02
Q561L0,include,II,beta,curated,IPR000353;PF00969;PTHR19944:SF99;cd05766,UniProtKB entry 80; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q561L0?format=txt&versions=80,2026-09-02
A0A401RUA8,include,II,beta,curated,PTHR19944:SF99,UniProtKB entry 20; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A401RUA8?format=txt&versions=20,2026-09-02
A0A401NJB8,exclude_non_mhc,,,excluded_non_mhc,PANTHER PTHR16675:SF289 zinc-alpha-2-glycoprotein; InterPro IPR050208 MHC class-I-related fold; not an MHC class II chain,UniProtKB entry 19; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A401NJB8?format=txt&versions=19,2026-09-02
Q5TJH0,include,II,beta,curated,UniProtKB protein name explicitly identifies DM beta; source gene HLA-DMB,UniProtKB entry 129; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q5TJH0?format=txt&versions=129,2026-09-03
A9UM13,include,I,alpha,curated,Archived gene mhc1-uba1.L and the preserved source-backed Xenopus UBA sequence identify an MHC-I alpha chain,UniProtKB entry 89; annotation 2026-09-02,https://rest.uniprot.org/unisave/A9UM13?format=txt&versions=89,2026-09-03
Q31365,include,I,alpha,curated,Archived UBA*01 gene and the preserved source-backed Danio UBA sequence identify an MHC-I alpha chain,UniProtKB entry 149; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q31365?format=txt&versions=149,2026-09-03
Q8HWB2,include,I,alpha,curated,Archived H2-Q4 gene and the preserved source-backed mouse Q4 sequence identify an MHC-I alpha chain,UniProtKB entry 203; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q8HWB2?format=txt&versions=203,2026-09-03
A0A2R9A879,include,I,alpha,curated,Prior source-backed annotation identifies major histocompatibility complex class I B and HLA-B,UniProtKB entry 40; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A2R9A879?format=txt&versions=40,2026-09-03
A0A4W6BZZ2,include,I,alpha,curated,Prior source-backed annotation identifies a major histocompatibility complex class-I-related protein,UniProtKB entry 28; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A4W6BZZ2?format=txt&versions=28,2026-09-03
A0A4W6CS56,include,II,alpha,curated,Prior source-backed annotation identifies an RLA class-II DP alpha-1 chain,UniProtKB entry 31; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A4W6CS56?format=txt&versions=31,2026-09-03
A0A4W6D3Z7,include,I,alpha,curated,Prior source-backed annotation identifies a class-I F10 alpha chain,UniProtKB entry 29; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A4W6D3Z7?format=txt&versions=29,2026-09-03
A0A4W6D4F3,include,I,alpha,curated,Prior source-backed annotation identifies a class-I F10 alpha chain,UniProtKB entry 29; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A4W6D4F3?format=txt&versions=29,2026-09-03
A0A4W6D4J2,include,I,alpha,curated,Prior source-backed annotation identifies a class-I F10 alpha chain,UniProtKB entry 29; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A4W6D4J2?format=txt&versions=29,2026-09-03
A0A4W6G7R6,include,II,alpha,curated,Prior source-backed annotation identifies an RLA class-II DP alpha-1 chain,UniProtKB entry 30; annotation 2026-09-02,https://rest.uniprot.org/unisave/A0A4W6G7R6?format=txt&versions=30,2026-09-03
H2L2T1,include,II,alpha,curated,Prior source-backed annotation identifies the nonclassical MHC class-II alpha gene Orla-DCA,UniProtKB entry 82; annotation 2026-09-02,https://rest.uniprot.org/unisave/H2L2T1?format=txt&versions=82,2026-09-03
O35424,include,II,beta,curated,Archived H2-Ob gene identifies the MHC class-II O-region beta chain,UniProtKB entry 202; annotation 2026-09-02,https://rest.uniprot.org/unisave/O35424?format=txt&versions=202,2026-09-03
Q6AX04,include,I,alpha,curated,Archived mhc1-uba6.3.L gene and prior source-backed annotation identify an MHC-I alpha chain,UniProtKB entry 121; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q6AX04?format=txt&versions=121,2026-09-03
Q6MGB1,include,II,alpha,curated,Archived RT1-Ha gene identifies an MHC class-II alpha chain,UniProtKB entry 164; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q6MGB1?format=txt&versions=164,2026-09-03
Q95J07,include,I,alpha,curated,Archived HLA-A30.2 antigen annotation identifies an MHC-I alpha chain,UniProtKB entry 174; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q95J07?format=txt&versions=174,2026-09-03
Q9QWV1,include,II,alpha,curated,Archived H2-Oa gene identifies the MHC class-II O-region alpha chain,UniProtKB entry 209; annotation 2026-09-02,https://rest.uniprot.org/unisave/Q9QWV1?format=txt&versions=209,2026-09-03
R4IRR1,include,II,alpha,curated,Prior source-backed annotation identifies the nonclassical MHC class-II alpha gene Orla-DFA,UniProtKB entry 69; annotation 2026-09-02,https://rest.uniprot.org/unisave/R4IRR1?format=txt&versions=69,2026-09-03
R4ISF6,include,II,alpha,curated,Prior source-backed annotation identifies the nonclassical MHC class-II alpha gene Orla-DEA,UniProtKB entry 65; annotation 2026-09-02,https://rest.uniprot.org/unisave/R4ISF6?format=txt&versions=65,2026-09-03
